,hs_code,suffix,description
0,23.01,,肉、くず肉、魚又は甲殻類、軟体動物若しくはその他の水棲無脊椎動物の粉、ミール及びペレット（食用に適しないものに限る。）並びに獣脂かす
1,2301.10,000,肉又はくず肉の粉、ミール及びペレット並びに獣脂かす
2,2301.20,,魚又は甲殻類、軟体動物若しくはその他の水棲無脊椎動物の粉、ミール及びペレット
3,,010,− 魚の粉、ミール及びペレット
4,,090,− その他のもの
5,23.02,,ふすま、ぬかその他のかす（穀物又は豆のふるい分け、製粉その他の処理の際に生ずるものに限るものとし、ペレット状であるかないかを問わない。）
6,2302.10,000,とうもろこしのもの
7,2302.30,000,小麦のもの
8,2302.40,,その他の穀物のもの
9,,010,− 米のもの
10,,090,− その他のもの
11,2302.50,000,豆のもの
12,23.03,,でん粉製造の際に生ずるかすその他これに類するかす、ビートパルプ、バガスその他の砂糖製造の際に生ずるかす及び醸造又は蒸留の際に生ずるかす（ペレット状であるかないかを問わない。）
13,2303.10,000,でん粉製造の際に生ずるかすその他これに類するかす
14,2303.20,000,ビートパルプ、バガスその他の砂糖製造の際に生ずるかす
15,2303.30,000,醸造又は蒸留の際に生ずるかす
16,23.04,,
17,2304.00,000,大豆油かす（粉砕してあるかないか又はペレット状であるかないかを問わない。）
18,23.05,,
19,2305.00,000,落花生油かす（粉砕してあるかないか又はペレット状であるかないかを問わない。）
20,23.06,,その他の植物性又は微生物性の油かす（粉砕してあるかないか又はペレット状であるかないかを問わないものとし、第23.04項又は第23.05項のものを除く。）
21,2306.10,000,綿実油かす
22,2306.20,000,亜麻仁油かす
23,2306.30,000,ひまわり油かす
24,,,菜種油かす
25,2306.41,000,菜種油かす（低エルカ酸のもの）
26,2306.49,000,その他のもの
27,2306.50,000,やし（コプラ）油かす
28,2306.60,000,パーム油かす及びパーム核油かす
29,2306.90,,その他のもの
30,,010,− とうもろこしの胚芽油かす
31,,090,− その他のもの
32,23.07,,
33,2307.00,000,ぶどう酒かす及びアーゴル
34,23.08,,
35,2308.00,000,飼料用に供する種類の植物材料、植物のくず、植物のかす及び植物性副産物（ペレット状であるかないかを問わないものとし、他の項に該当するものを除く。）
36,23.09,,飼料用に供する種類の調製品
37,2309.10,,犬用又は猫用の飼料（小売用にしたものに限る。）
38,,010,1 乳糖の含有量が全重量の10％以上のもの
39,,,2 その他のもの
40,,091,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
41,,,(2)その他のもの
42,,092,A 課税価格が1キログラムにつき70円を超えるもの（粗たんぱく質の含有量が全重量の35％未満のものに限る。）
43,,,B その他のもの
44,,093,(a)粉状、ミール状、フレーク状、ペレット状、キューブ状その他これらに類する形状のもの（しよ糖として計算した糖類の含有量が全重量の5％未満で、遊離でん粉の含有量が全重量の20％未満であり、かつ、粗たんぱく質の含有量が全重量の35％未満のものに限るものとし、政令で定める選別方法により分離できる砕米、米粉及び米のミールの含有量の合計が全重量の10％以上のものを除く。）
45,,099,(b)その他のもの
46,2309.90,,その他のもの
47,,,1 飼料用に供する種類の調製品（飼料に添加するものに限る。）
48,,110,− 飼料用ビタミン調製品
49,,190,− その他のもの
50,,,2 その他のもの
51,,,(1)乳糖の含有量が全重量の10％以上のもの
52,,211,A ホワイトヴィール用子牛の育成に使用するもの
53,,219,B その他のもの
54,,,(2)その他のもの
55,,,A 第12.14項又は第23.03項の物品をもととしたもの（ペレット状、キューブ状その他これらに類する形状のものに限る。）、アルファルファ緑葉たんぱく濃縮物並びに魚又は海棲哺乳動物のソリュブル
56,,292,− 第12.14項又は第23.03項の物品をもととしたもの（ペレット状、キューブ状その他これらに類する形状のものに限る。）
57,,291,− アルファルファ緑葉たんぱく濃縮物及び魚又は海棲哺乳動物のソリュブル
58,,,B その他のもの
59,,295,(a)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
60,,,(b)その他のもの
61,,296,イ 課税価格が1キログラムにつき70円を超えるもの（小売用の容器入りにしたもの（気密容器入りのものを除く。）で、粗たんぱく質の含有量が全重量の35％未満のものに限る。）
62,,,ロ その他のもの
63,,,(ｲ)粉状、ミール状、フレーク状、ペレット状、キューブ状その他これらに類する形状のもの（しよ糖として計算した糖類の含有量が全重量の5％未満で、遊離でん粉の含有量が全重量の20％未満であり、かつ、粗たんぱく質の含有量が全重量の35％未満のものに限るものとし、政令で定める選別方法により分離できる砕米、米粉及び米のミールの含有量の合計が全重量の10％以上のものを除く。）
64,,297,I  犬、猫その他の愛がん用又は観賞用の動物用のもの
65,,298,II その他のもの
66,,299,(ﾛ)その他のもの
